Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum,Authority,Hub,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
132,Cabo Verde,,23,134383948.8373,0,134383948.8373,0,112,0.052671,0,11,0,11,0,0,0,0
136,Cayman Isds,,26,1564010361.42,0,1564010361.42,0,111,0.065588,0,14,0,14,0,0,0,0
140,Central African Rep.,,23,143307012.224,0,143307012.224,0,100,0.061674,0,13,0,13,0,0,0,0
144,Sri Lanka,,7,14811193037.900002,0,14811193037.900002,0,59,0.074484,0,16,0,16,0,0,0,0
148,Chad,,23,515704933.652,0,515704933.652,0,58,0.061755,0,13,0,13,0,0,0,0
152,Chile,,26,43804124277.59,0,43804124277.59,0,70,0.074484,0,16,0,16,0,0,0,0
156,China,,23,761955709789,2483652434857,3245608144646,0,224,0.069532,0.265323,15,213,228,2,0.901887,0.945607,46.340637
162,Christmas Isds,,7,20100891,0,20100891,0,205,0.014078,0,3,0,3,0,0,0,0
166,Cocos Isds,,7,6326286,0,6326286,0,222,0.00931,0,2,0,2,0,0,0,0
170,Colombia,,26,35743955776.8,0,35743955776.8,0,45,0.074484,0,16,0,16,0,0,0,0
174,Comoros,,7,167177285.809,0,167177285.809,0,44,0.05254,0,11,0,11,0,0,0,0
178,Congo,,23,3227064671.39,0,3227064671.39,0,43,0.074484,0,16,0,16,0,0,0,0
180,Dem.Rep. of the Congo,,23,3496516464.6,0,3496516464.6,0,39,0.070691,0,15,0,15,0,0,0,0
184,Cook Isds,,7,39766047,0,39766047,0,202,0.023935,0,5,0,5,0,0,0,0
188,Costa Rica,,26,9357707127.267,0,9357707127.267,0,38,0.074484,0,16,0,16,0,0,0,0
191,Croatia,,23,6278892609.424,0,6278892609.424,0,83,0.074484,0,16,0,16,0,0,0,0
192,Cuba,,23,3820978311.302,0,3820978311.302,0,101,0.074484,0,16,0,16,0,0,0,0
196,Cyprus,,23,2484362660.892,0,2484362660.892,0,108,0.074484,0,16,0,16,0,0,0,0
203,Czechia,,23,64524582692.41,0,64524582692.41,0,144,0.074484,0,16,0,16,0,0,0,0
204,Benin,,23,4716578718.049999,0,4716578718.049999,0,143,0.070691,0,15,0,15,0,0,0,0
208,Denmark,,23,33911344451.04,0,33911344451.04,0,62,0.074484,0,16,0,16,0,0,0,0
212,Dominica,,26,130743235.152,0,130743235.152,0,61,0.061542,0,13,0,13,0,0,0,0
214,Dominican Rep.,,26,10722361831.041,0,10722361831.041,0,60,0.074484,0,16,0,16,0,0,0,0
218,Ecuador,,26,12128492304.705,0,12128492304.705,0,42,0.074484,0,16,0,16,0,0,0,0
222,El Salvador,,26,5100317653.1,0,5100317653.1,0,41,0.070107,0,15,0,15,0,0,0,0
226,Equatorial Guinea,,23,669163257.869,0,669163257.869,0,40,0.070691,0,15,0,15,0,0,0,0
231,Ethiopia,,7,8717709756.99,0,8717709756.99,0,73,0.074484,0,16,0,16,0,0,0,0
232,Eritrea,,23,268711686.81,0,268711686.81,0,72,0.057177,0,12,0,12,0,0,0,0
233,Estonia,,23,5913358894.416,0,5913358894.416,0,71,0.074484,0,16,0,16,0,0,0,0
234,Faeroe Isds,,23,128071108,0,128071108,0,200,0.033687,0,7,0,7,0,0,0,0
238,Falkland Isds (Malvinas),,7,17923442,0,17923442,0,213,0.01356,0,3,0,3,0,0,0,0
242,Fiji,,7,1378388519.979,0,1378388519.979,0,120,0.070235,0,15,0,15,0,0,0,0
246,Finland,,23,25993612881.02,0,25993612881.02,0,64,0.074484,0,16,0,16,0,0,0,0
251,France,,23,213401177659.59998,523142737376,736543915035.6,0,224,0.069582,0.262616,15,213,228,2,0.901887,0.945607,67.508314
258,French Polynesia,,23,954672845.8,0,954672845.8,0,63,0.057485,0,12,0,12,0,0,0,0
260,Fr. South Antarctic Terr.,,26,15635826,0,15635826,0,215,0.014873,0,3,0,3,0,0,0,0
262,Djibouti,,23,2960778792.93,0,2960778792.93,0,53,0.070691,0,15,0,15,0,0,0,0
266,Gabon,,23,1738818149.78,0,1738818149.78,0,49,0.074484,0,16,0,16,0,0,0,0
268,Georgia,,23,2893201692.772,0,2893201692.772,0,48,0.074484,0,16,0,16,0,0,0,0
270,Gambia,,23,484640102.031,0,484640102.031,0,47,0.062126,0,13,0,13,0,0,0,0
275,State of Palestine,,23,321864179.88,0,321864179.88,0,181,0.047677,0,10,0,10,0,0,0,0
276,Germany,,23,269738977842,1390998964934.32,1660737942776.32,0,224,0.069507,0.266643,15,218,233,2,0.919231,0.956067,74.502542
288,Ghana,,23,9507948346.859999,0,9507948346.859999,0,74,0.074484,0,16,0,16,0,0,0,0
292,Gibraltar,,26,4188180929.49,0,4188180929.49,0,107,0.052159,0,11,0,11,0,0,0,0
296,Kiribati,,7,106132847.5,0,106132847.5,0,142,0.0384,0,8,0,8,0,0,0,0
300,Greece,,23,20740354536.484,0,20740354536.484,0,102,0.074484,0,16,0,16,0,0,0,0
304,Greenland,,26,41852249,0,41852249,0,198,0.024427,0,5,0,5,0,0,0,0
308,Grenada,,26,129627909,0,129627909,0,128,0.052194,0,11,0,11,0,0,0,0
316,Guam,,7,593822661,0,593822661,0,68,0.046513,0,10,0,10,0,0,0,0
320,Guatemala,,26,10685473493.418,0,10685473493.418,0,67,0.074484,0,16,0,16,0,0,0,0
324,Guinea,,23,1979932943.21,0,1979932943.21,0,66,0.074484,0,16,0,16,0,0,0,0
328,Guyana,,26,659556089.9538,0,659556089.9538,0,65,0.070235,0,15,0,15,0,0,0,0
332,Haiti,,26,1627308779.146,0,1627308779.146,0,82,0.070168,0,15,0,15,0,0,0,0
334,Heard Island and McDonald Islands,,26,913419,0,913419,0,223,0.004994,0,1,0,1,0,0,0,0
336,Holy See (Vatican City State),,23,5044301,0,5044301,0,214,0.014873,0,3,0,3,0,0,0,0
340,Honduras,,26,7015201231.3944,0,7015201231.3944,0,56,0.074484,0,16,0,16,0,0,0,0
